"Il boss Re-Tiranno","Il Leader Regina"
"comanda","facilita"
"è aggressivo e autoritario","è equilibrato e autorevole"
"richiede deferenza e soggezione","ispira rispetto e fiducia"
"punta al successo","punta alla crescita"
"è il più grande fan di sé stesso","è il più grande fan del suo team"
"impone la sua visione, ignorando i segnali che potrebbero contraddirlo","costruisce una visione condivisa, adattandosi per risolvere le contraddizioni"
"pretende ragione","cerca adesione"
"entra nel merito di ogni scelta e questione, anche se non è il suo campo","riconosce la propria area di eccellenza e si affida a quella dei membri del team"
"non deve chiedere mai","chiede e dà pareri, consigli, feedback"
"ha sempre l’idea migliore","trova un valore in ogni idea"
"giudica la persona e l’idea","valorizza e critica l’idea in modo costruttivo"
"delega solo l’esecuzione","delega la definizione di una soluzione"
"decide nel dettaglio cosa va fatto e come","scompone i problemi strategici e complessi, spiegando lo scopo delle sue richieste"
"prima di tutto siamo professionisti: non contempla l’emotività sul posto di lavoro, e rifiuta ogni interferenza tra vita personale e professionale dei suoi sottoposti","prima di tutto siamo persone: comprende l’emotività di tutti e riconosce la propria responsabilità, per quanto è ragionevole nel suo ruolo, verso il benessere e la serenità del team e delle persone"
"gestisce in modo gerarchico ogni questione","fa valere le gerarchie solo se strettamente necessario"
